source_vendor,source_model,source_condition,judge_vendor,judge_model,source_label,n_total,n_format_valid,n_invalid,format_valid_rate_pct,n_semantically_grounded_all,semantic_grounding_rate_all_pct,n_semantically_grounded_valid,semantic_grounding_rate_valid_pct
anthropic,claude-opus-4-5-20251101,evidence_required,anthropic,claude-opus-4-5-20251101,BOTH,62,62,0,100.0,37,59.67741935483871,37,59.67741935483871
anthropic,claude-opus-4-5-20251101,evidence_required,anthropic,claude-opus-4-5-20251101,LOCALIZED,234,234,0,100.0,194,82.90598290598291,194,82.90598290598291
anthropic,claude-opus-4-5-20251101,evidence_required,anthropic,claude-opus-4-5-20251101,METASTATIC,213,213,0,100.0,154,72.30046948356808,154,72.30046948356808
anthropic,claude-opus-4-5-20251101,evidence_required,anthropic,claude-opus-4-5-20251101,NEITHER,58,58,0,100.0,54,93.10344827586206,54,93.10344827586206
anthropic,claude-opus-4-5-20251101,evidence_required,gemini,gemini-3-flash-preview,BOTH,62,61,1,98.38709677419355,48,77.41935483870968,48,78.68852459016394
anthropic,claude-opus-4-5-20251101,evidence_required,gemini,gemini-3-flash-preview,LOCALIZED,234,232,2,99.14529914529915,199,85.04273504273505,199,85.77586206896552
anthropic,claude-opus-4-5-20251101,evidence_required,gemini,gemini-3-flash-preview,METASTATIC,213,210,3,98.59154929577464,137,64.31924882629107,137,65.23809523809524
anthropic,claude-opus-4-5-20251101,evidence_required,gemini,gemini-3-flash-preview,NEITHER,58,57,1,98.27586206896552,57,98.27586206896552,57,100.0
anthropic,claude-opus-4-5-20251101,evidence_required,openai,gpt-5.2-2025-12-11,BOTH,62,62,0,100.0,23,37.096774193548384,23,37.096774193548384
anthropic,claude-opus-4-5-20251101,evidence_required,openai,gpt-5.2-2025-12-11,LOCALIZED,234,234,0,100.0,197,84.1880341880342,197,84.1880341880342
anthropic,claude-opus-4-5-20251101,evidence_required,openai,gpt-5.2-2025-12-11,METASTATIC,213,213,0,100.0,138,64.78873239436619,138,64.78873239436619
anthropic,claude-opus-4-5-20251101,evidence_required,openai,gpt-5.2-2025-12-11,NEITHER,58,58,0,100.0,45,77.58620689655173,45,77.58620689655173
gemini,gemini-3-flash-preview,evidence_required,anthropic,claude-opus-4-5-20251101,BOTH,156,156,0,100.0,57,36.53846153846154,57,36.53846153846154
gemini,gemini-3-flash-preview,evidence_required,anthropic,claude-opus-4-5-20251101,LOCALIZED,204,204,0,100.0,126,61.76470588235294,126,61.76470588235294
gemini,gemini-3-flash-preview,evidence_required,anthropic,claude-opus-4-5-20251101,METASTATIC,140,140,0,100.0,96,68.57142857142857,96,68.57142857142857
gemini,gemini-3-flash-preview,evidence_required,anthropic,claude-opus-4-5-20251101,NEITHER,57,57,0,100.0,18,31.57894736842105,18,31.57894736842105
gemini,gemini-3-flash-preview,evidence_required,gemini,gemini-3-flash-preview,BOTH,156,155,1,99.35897435897436,88,56.41025641025641,88,56.774193548387096
gemini,gemini-3-flash-preview,evidence_required,gemini,gemini-3-flash-preview,LOCALIZED,204,202,2,99.01960784313725,142,69.6078431372549,142,70.29702970297029
gemini,gemini-3-flash-preview,evidence_required,gemini,gemini-3-flash-preview,METASTATIC,140,139,1,99.28571428571429,97,69.28571428571429,97,69.7841726618705
gemini,gemini-3-flash-preview,evidence_required,gemini,gemini-3-flash-preview,NEITHER,57,57,0,100.0,27,47.36842105263158,27,47.36842105263158
gemini,gemini-3-flash-preview,evidence_required,openai,gpt-5.2-2025-12-11,BOTH,156,156,0,100.0,42,26.923076923076923,42,26.923076923076923
gemini,gemini-3-flash-preview,evidence_required,openai,gpt-5.2-2025-12-11,LOCALIZED,204,204,0,100.0,125,61.27450980392157,125,61.27450980392157
gemini,gemini-3-flash-preview,evidence_required,openai,gpt-5.2-2025-12-11,METASTATIC,140,140,0,100.0,98,70.0,98,70.0
gemini,gemini-3-flash-preview,evidence_required,openai,gpt-5.2-2025-12-11,NEITHER,57,57,0,100.0,23,40.35087719298246,23,40.35087719298246
openai,gpt-5.2-2025-12-11,evidence_required,anthropic,claude-opus-4-5-20251101,BOTH,89,89,0,100.0,74,83.14606741573034,74,83.14606741573034
openai,gpt-5.2-2025-12-11,evidence_required,anthropic,claude-opus-4-5-20251101,LOCALIZED,201,201,0,100.0,186,92.53731343283582,186,92.53731343283582
openai,gpt-5.2-2025-12-11,evidence_required,anthropic,claude-opus-4-5-20251101,METASTATIC,155,155,0,100.0,133,85.80645161290323,133,85.80645161290323
openai,gpt-5.2-2025-12-11,evidence_required,anthropic,claude-opus-4-5-20251101,NEITHER,61,61,0,100.0,51,83.60655737704919,51,83.60655737704919
openai,gpt-5.2-2025-12-11,evidence_required,gemini,gemini-3-flash-preview,BOTH,89,89,0,100.0,88,98.87640449438203,88,98.87640449438203
openai,gpt-5.2-2025-12-11,evidence_required,gemini,gemini-3-flash-preview,LOCALIZED,201,197,4,98.00995024875621,194,96.51741293532338,194,98.4771573604061
openai,gpt-5.2-2025-12-11,evidence_required,gemini,gemini-3-flash-preview,METASTATIC,155,153,2,98.70967741935483,135,87.09677419354838,135,88.23529411764706
openai,gpt-5.2-2025-12-11,evidence_required,gemini,gemini-3-flash-preview,NEITHER,61,61,0,100.0,56,91.80327868852459,56,91.80327868852459
openai,gpt-5.2-2025-12-11,evidence_required,openai,gpt-5.2-2025-12-11,BOTH,89,89,0,100.0,58,65.1685393258427,58,65.1685393258427
openai,gpt-5.2-2025-12-11,evidence_required,openai,gpt-5.2-2025-12-11,LOCALIZED,201,201,0,100.0,195,97.01492537313433,195,97.01492537313433
openai,gpt-5.2-2025-12-11,evidence_required,openai,gpt-5.2-2025-12-11,METASTATIC,155,155,0,100.0,142,91.61290322580645,142,91.61290322580645
openai,gpt-5.2-2025-12-11,evidence_required,openai,gpt-5.2-2025-12-11,NEITHER,61,61,0,100.0,48,78.68852459016394,48,78.68852459016394
